bioscreen_well	replicate	sp_hist	strep_conc	auc	max_od	min_od
57	2	EVO_1977	256	24.109355555555556	0.7718	0.08066666666666666
58	3	EVO_1977	256	23.79681111111111	0.769	0.081
59	4	EVO_1977	256	24.00797777777778	0.7704	0.082
60	5	EVO_1977	256	24.150772222222223	0.7482	0.08233333333333334
66	1	EVO_1287	512	15.9485	0.4314	0.08133333333333334
67	2	EVO_1287	512	16.040433333333333	0.4336	0.082
68	3	EVO_1287	512	16.083272222222224	0.4356	0.081
69	4	EVO_1287	512	16.12716111111111	0.4386	0.081
70	5	EVO_1287	512	16.2666	0.4458	0.083
76	1	EVO_1977	512	23.7297	0.7608	0.08233333333333334
77	2	EVO_1977	512	23.783933333333337	0.76	0.082
78	3	EVO_1977	512	23.63298888888889	0.7612	0.082
79	4	EVO_1977	512	23.618533333333332	0.761	0.08233333333333334
80	5	EVO_1977	512	23.672283333333333	0.7378	0.083
86	1	EVO_1287	1024	15.912655555555554	0.4394	0.082
87	2	EVO_1287	1024	15.71247222222222	0.434	0.082
88	3	EVO_1287	1024	15.36298888888889	0.4238	0.082
89	4	EVO_1287	1024	15.66681111111111	0.4352	0.082
90	5	EVO_1287	1024	15.742144444444444	0.4424	0.082
96	1	EVO_1977	1024	23.47097777777778	0.737	0.083
97	2	EVO_1977	1024	23.266477777777776	0.7368	0.083
98	3	EVO_1977	1024	23.214583333333337	0.7366	0.083
99	4	EVO_1977	1024	23.27581111111111	0.7348	0.08233333333333334
100	5	EVO_1977	1024	24.023333333333333	0.7312	0.082
106	1	EVO_1287	2048	16.461850000000002	0.4686	0.08066666666666666
107	2	EVO_1287	2048	16.597805555555556	0.4716	0.08
108	3	EVO_1287	2048	16.719638888888888	0.4736	0.081
109	4	EVO_1287	2048	16.36476111111111	0.461	0.081
110	5	EVO_1287	2048	16.881394444444446	0.49066666666666664	0.081
116	1	EVO_1977	2048	23.179183333333334	0.7408	0.08066666666666666
117	2	EVO_1977	2048	23.398688888888888	0.745	0.08066666666666666
118	3	EVO_1977	2048	23.279227777777777	0.7474	0.08166666666666667
119	4	EVO_1977	2048	23.267688888888888	0.7444	0.082
120	5	EVO_1977	2048	23.079366666666665	0.7268	0.08233333333333334
126	1	EVO_1287	4096	15.757472222222225	0.4234	0.08
127	2	EVO_1287	4096	16.055994444444444	0.43120000000000003	0.08
128	3	EVO_1287	4096	16.219822222222223	0.4362	0.08
129	4	EVO_1287	4096	15.925011111111113	0.4308	0.08033333333333334
130	5	EVO_1287	4096	16.201161111111112	0.4404	0.081
136	1	EVO_1977	4096	21.933344444444444	0.7	0.08
137	2	EVO_1977	4096	21.73491111111111	0.701	0.08066666666666666
138	3	EVO_1977	4096	21.689727777777776	0.699	0.08066666666666666
139	4	EVO_1977	4096	21.689266666666665	0.7008	0.083
140	5	EVO_1977	4096	22.5599	0.7091999999999999	0.083
