y0	mumax	r2	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	plate_name	streptomycin
0.04724229833359633	0.19215882828143072	0.999834793399418	H1287	evo	A1287_E1287	c	coculture	D01D02	R2A	plate02	0
0.04997645090601445	0.3037740574140018	0.99980832813907206	H1287	anc	A1287_A1977	c	coculture	D03D04	R2A	plate02	0
0.011319152768977048	0.3225085570532306	0.9998371439426029	H1977	anc	A1287_A1977	c	coculture	D03D04	R2A	plate02	0
0.050217073252450124	0.30817010208972073	0.9997972966282861	H1287	anc	A1287_E1977	c	coculture	D05D06	R2A	plate02	0
0.009247746757465198	0.26406259163270407	0.9999273790110078	H1977	evo	A1287_E1977	c	coculture	D05D06	R2A	plate02	0
0.03484900669330115	0.24195669147938031	0.9998055911323172	H1287	evo	E1287_A1977	c	coculture	D07D08	R2A	plate02	0
0.01726996705045898	0.2714594179754241	0.9999690711980315	H1977	anc	E1287_A1977	c	coculture	D07D08	R2A	plate02	0
0.03266704627214128	0.24693790781747862	0.9997847006738223	H1287	evo	E1287_E1977	c	coculture	D09D10	R2A	plate02	0
0.019062607111269888	0.19670604022563748	0.9999750955283754	H1977	evo	E1287_E1977	c	coculture	D09D10	R2A	plate02	0
0.02043152718188688	0.26408302347178736	0.9999582670887048	H1977	anc	A1977_E1977	c	coculture	D11D12	R2A	plate02	0
0.008834933638151465	0.234116302047153	0.9999049431336152	H1977	evo	A1977_E1977	c	coculture	D11D12	R2A	plate02	0
0.047859295011567285	0.304065799064442	0.9998204384051889	H1287	anc	A1287_E1287	d	coculture	E01E02	R2A	plate02	0
0.046991070233961596	0.19688677779041525	0.9997849303195169	H1287	evo	A1287_E1287	d	coculture	E01E02	R2A	plate02	0
0.05182620046385888	0.2865141521420752	0.9998416996149625	H1287	anc	A1287_A1977	d	coculture	E03E04	R2A	plate02	0
0.014252049391422845	0.3033499221119058	0.9999226749797561	H1977	anc	A1287_A1977	d	coculture	E03E04	R2A	plate02	0
0.048594631003262355	0.3011358199402692	0.9998575030762213	H1287	anc	A1287_E1977	d	coculture	E05E06	R2A	plate02	0
0.012405715262509885	0.2399036052626046	0.9999445287891672	H1977	evo	A1287_E1977	d	coculture	E05E06	R2A	plate02	0
0.03070852429670556	0.2554399872138806	0.9997701452053028	H1287	evo	E1287_A1977	d	coculture	E07E08	R2A	plate02	0
0.015742365106143453	0.2890260138698782	0.999946362376904	H1977	anc	E1287_A1977	d	coculture	E07E08	R2A	plate02	0
0.032403535060283144	0.24545725253839826	0.9998536926601816	H1287	evo	E1287_E1977	d	coculture	E09E10	R2A	plate02	0
0.0058971013613651115	0.2931328785537679	0.9999088516897543	H1977	evo	E1287_E1977	d	coculture	E09E10	R2A	plate02	0
0.014872436017819107	0.30149358742521953	0.9999024918625901	H1977	anc	A1977_E1977	d	coculture	E11E12	R2A	plate02	0
0.01778582675185597	0.20779822396263306	0.9999481967385737	H1977	evo	A1977_E1977	d	coculture	E11E12	R2A	plate02	0
0.04851804903595551	0.3062770097963928	0.9997870372442502	H1287	anc	A1287_E1287	e	coculture	F01F02	R2A	plate02	0
0.05241244294660263	0.19264062271893032	0.9997571667205137	H1287	evo	A1287_E1287	e	coculture	F01F02	R2A	plate02	0
0.05195850818977385	0.29102489558563266	0.9998081838700406	H1287	anc	A1287_A1977	e	coculture	F03F04	R2A	plate02	0
0.013529184938232007	0.2965247540795615	0.9998870520237827	H1977	anc	A1287_A1977	e	coculture	F03F04	R2A	plate02	0
0.051095820323431906	0.28435079829804866	0.9998780624039141	H1287	anc	A1287_E1977	e	coculture	F05F06	R2A	plate02	0
0.012793743974078106	0.23619923661889114	0.9999482471357967	H1977	evo	A1287_E1977	e	coculture	F05F06	R2A	plate02	0
0.03268556380859252	0.24723357053013506	0.9997924518264721	H1287	evo	E1287_A1977	e	coculture	F07F08	R2A	plate02	0
0.014808325478441839	0.2975080548177452	0.9998846896718199	H1977	anc	E1287_A1977	e	coculture	F07F08	R2A	plate02	0
0.030273423719196335	0.25122764039887535	0.9998288680697857	H1287	evo	E1287_E1977	e	coculture	F09F10	R2A	plate02	0
0.00951299455159616	0.2589199084168368	0.9999352542762315	H1977	evo	E1287_E1977	e	coculture	F09F10	R2A	plate02	0
0.017355265199108825	0.28126332677487464	0.9999591046964481	H1977	anc	A1977_E1977	e	coculture	F11F12	R2A	plate02	0
0.01968418164901909	0.1998666568528404	0.999890828462554	H1977	evo	A1977_E1977	e	coculture	F11F12	R2A	plate02	0
0.0493112561734264	0.30630061229372674	0.9997815153549261	H1287	anc	A1287_E1287	f	coculture	G01G02	R2A	plate02	0
0.04783624608612083	0.19333711374675674	0.9998122947068167	H1287	evo	A1287_E1287	f	coculture	G01G02	R2A	plate02	0
0.05423651952626516	0.28616813777809286	0.9996886020092545	H1287	anc	A1287_A1977	f	coculture	G03G04	R2A	plate02	0
0.022917298303020427	0.256123116068862	0.9998785053576782	H1977	anc	A1287_A1977	f	coculture	G03G04	R2A	plate02	0
0.05474276074476348	0.2869663689915919	0.999719570915804	H1287	anc	A1287_E1977	f	coculture	G05G06	R2A	plate02	0
0.022822205843000737	0.18881824564246436	0.9999025756942189	H1977	evo	A1287_E1977	f	coculture	G05G06	R2A	plate02	0
0.030544840552187022	0.25852763075604285	0.999709005466015	H1287	evo	E1287_A1977	f	coculture	G07G08	R2A	plate02	0
0.012868029107146751	0.3176105715943232	0.9999301172438202	H1977	anc	E1287_A1977	f	coculture	G07G08	R2A	plate02	0
0.03066939249954849	0.24887780425168546	0.9998076267133054	H1287	evo	E1287_E1977	f	coculture	G09G10	R2A	plate02	0
0.009075989744115321	0.2645050854999373	0.9999155103140475	H1977	evo	E1287_E1977	f	coculture	G09G10	R2A	plate02	0
0.01607321238492368	0.29530956524977436	0.9999146780091162	H1977	anc	A1977_E1977	f	coculture	G11G12	R2A	plate02	0
0.015710652511796267	0.22067160455763718	0.9999048072683046	H1977	evo	A1977_E1977	f	coculture	G11G12	R2A	plate02	0
0.044796763537492346	0.318644578515306	0.9997952355448481	H1287	anc	A1287_E1287	a	coculture	B01B02	R2A	plate03	4
0.04498988711809362	0.19963291215394946	0.9998539269001672	H1287	evo	A1287_E1287	a	coculture	B01B02	R2A	plate03	4
0.049984722594246994	0.2959272998721197	0.9996329830849285	H1287	anc	A1287_A1977	a	coculture	B03B04	R2A	plate03	4
0.019878384118350596	0.2597803097740347	0.9999494983477114	H1977	anc	A1287_A1977	a	coculture	B03B04	R2A	plate03	4
0.05247858196213328	0.2922320185814585	0.9996849276875538	H1287	anc	A1287_E1977	a	coculture	B05B06	R2A	plate03	4
0.014541459643336998	0.22586106790631236	0.9999468830385989	H1977	evo	A1287_E1977	a	coculture	B05B06	R2A	plate03	4
0.031506192541873	0.2517254640787772	0.9997522277817313	H1287	evo	E1287_A1977	a	coculture	B07B08	R2A	plate03	4
0.026922899539655216	0.22863808768020097	0.9999556426916568	H1977	anc	E1287_A1977	a	coculture	B07B08	R2A	plate03	4
0.030053348625547822	0.2639078306696984	0.9998194631724874	H1287	evo	E1287_E1977	a	coculture	B09B10	R2A	plate03	4
0.010308534058074132	0.25712658613728573	0.9997797467424028	H1977	evo	E1287_E1977	a	coculture	B09B10	R2A	plate03	4
0.012326569894392757	0.3119070518479653	0.9998967981361657	H1977	anc	A1977_E1977	a	coculture	B11B12	R2A	plate03	4
