y0	mumax	r2	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	streptomycin	plate_name
0.0035963575236146583	0.2874572102392235	0.9999068402189173	H1977	evo	E1287_E1977	c	coculture	D09D10	R2A	12	plate05
0.017800593718897733	0.060659654415008334	0.9978817681278576	H1977	anc	A1977_E1977	c	coculture	D11D12	R2A	12	plate05
0.0071613720208784344	0.23265453260085617	0.9999716850351282	H1977	evo	A1977_E1977	c	coculture	D11D12	R2A	12	plate05
0.05781499723493934	0.2485556997511915	0.9997442332066837	H1287	anc	A1287_E1287	d	coculture	E01E02	R2A	12	plate05
0.047330584506821885	0.17298170609160027	0.9998266112807996	H1287	evo	A1287_E1287	d	coculture	E01E02	R2A	12	plate05
0.03960102515701135	0.29026023774169907	0.9998968191562605	H1287	anc	A1287_A1977	d	coculture	E03E04	R2A	12	plate05
0.00896028775604013	0.07021297306188866	0.9982452279460404	H1977	anc	A1287_A1977	d	coculture	E03E04	R2A	12	plate05
0.04891200316560949	0.2697565474174954	0.9997637268095075	H1287	anc	A1287_E1977	d	coculture	E05E06	R2A	12	plate05
0.007811934722319044	0.2353003791806337	0.9999388568685922	H1977	evo	A1287_E1977	d	coculture	E05E06	R2A	12	plate05
0.05172897131954051	0.18776623865579736	0.999943681104289	H1287	evo	E1287_A1977	d	coculture	E07E08	R2A	12	plate05
0.001645638923485375	0.11631896325606782	0.9999085177072954	H1977	anc	E1287_A1977	d	coculture	E07E08	R2A	12	plate05
0.022751497702187092	0.2632279466170017	0.9998295799859427	H1287	evo	E1287_E1977	d	coculture	E09E10	R2A	12	plate05
0.009413490124673731	0.21494121757173612	0.9999292727843911	H1977	evo	E1287_E1977	d	coculture	E09E10	R2A	12	plate05
0.07293522291584847	0.017854734125386025	0.9990464965663611	H1977	anc	A1977_E1977	d	coculture	E11E12	R2A	12	plate05
0.005244313451904899	0.26203045848210316	0.9999613409438929	H1977	evo	A1977_E1977	d	coculture	E11E12	R2A	12	plate05
0.036896954848221794	0.3075626655972503	0.9998486169109602	H1287	anc	A1287_E1287	e	coculture	F01F02	R2A	12	plate05
0.0393577835686826	0.18716777710590135	0.999806594680118	H1287	evo	A1287_E1287	e	coculture	F01F02	R2A	12	plate05
0.03789094916358723	0.3043653236454158	0.9998529661687797	H1287	anc	A1287_A1977	e	coculture	F03F04	R2A	12	plate05
0.029765749437120233	0.03779711406574785	0.9985233330200706	H1977	anc	A1287_A1977	e	coculture	F03F04	R2A	12	plate05
0.036686080397025284	0.3039460982707809	0.9998879810314812	H1287	anc	A1287_E1977	e	coculture	F05F06	R2A	12	plate05
0.009403006566770962	0.22714083723388373	0.9998413001678186	H1977	evo	A1287_E1977	e	coculture	F05F06	R2A	12	plate05
0.02481616083016619	0.25675334571596675	0.9998791268520957	H1287	evo	E1287_A1977	e	coculture	F07F08	R2A	12	plate05
0.006423546482482677	0.07019074332490668	0.9978555003099039	H1977	anc	E1287_A1977	e	coculture	F07F08	R2A	12	plate05
0.02363259001308661	0.2510215910223948	0.9998512218419959	H1287	evo	E1287_E1977	e	coculture	F09F10	R2A	12	plate05
0.0031644792383635763	0.296232517189357	0.9998975040307022	H1977	evo	E1287_E1977	e	coculture	F09F10	R2A	12	plate05
0.03526109766931993	0.03853500901915249	0.9988925441249508	H1977	anc	A1977_E1977	e	coculture	F11F12	R2A	12	plate05
0.00638039227861589	0.24006175411937117	0.9999628996928039	H1977	evo	A1977_E1977	e	coculture	F11F12	R2A	12	plate05
0.04068095402009504	0.3014372867338452	0.9998196230198955	H1287	anc	A1287_E1287	f	coculture	G01G02	R2A	12	plate05
0.040087122075153095	0.18133989162398925	0.9997810438186786	H1287	evo	A1287_E1287	f	coculture	G01G02	R2A	12	plate05
0.04032256053285337	0.2893739275741387	0.9999112363781756	H1287	anc	A1287_A1977	f	coculture	G03G04	R2A	12	plate05
